ID,date,station,Latitude,Longitude,LULC_Class,Area_ha,lulc_urban_pct,soil_infiltration_mmhr,LandUse_Class,Flood_Severity,Flood_Severity_Class,discharge_m3s
1,"Monday, January 1, 1990",Hadejia,11.419127,9.46492,Agriculture,160.45,2,18.2,Bareland,2,2,0
2,"Tuesday, January 2, 1990",Hadejia,12.169227,9.360497,Built-up,72.21,1.9,17.9,Agriculture,0,1,0
3,"Wednesday, January 3, 1990",Hadejia,12.92317,8.793624,Water Body,45.09,1.9,19.4,Wetland,2,1,0
4,"Thursday, January 4, 1990",Hadejia,11.927136,8.382012,Built-up,366.2,2,18.2,Agriculture,2,1,0
5,"Friday, January 5, 1990",Hadejia,12.692685,9.89389,Water Body,34.57,2,20.3,Built-up,0,4,0
6,"Saturday, January 6, 1990",Hadejia,12.543878,9.595262,Water Body,463.12,1.9,18.1,Wetland,0,3,0
7,"Sunday, January 7, 1990",Hadejia,11.358206,9.972534,Water Body,190.15,2.4,13.6,Bareland,2,1,8.39
8,"Monday, January 8, 1990",Hadejia,12.191983,9.301521,Grassland,479.75,1.7,19.2,Agriculture,2,2,8.39
9,"Tuesday, January 9, 1990",Hadejia,12.492358,9.846685,Grassland,17.85,2.5,16.4,Bareland,0,2,8.27
10,"Wednesday, January 10, 1990",Hadejia,11.954762,9.886088,Water Body,197.34,1.9,17.2,Agriculture,3,0,8.3
11,"Thursday, January 11, 1990",Hadejia,12.128186,9.271926,Bare Land,338.09,2.2,15.2,Bareland,0,1,8.38
12,"Friday, January 12, 1990",Hadejia,12.107494,8.08287,Forest,293.65,2.3,18.6,Bareland,2,2,8.31
13,"Saturday, January 13, 1990",Hadejia,12.741649,9.056836,Water Body,497.34,2.1,15.5,Wetland,2,4,8.35
14,"Sunday, January 14, 1990",Hadejia,11.244413,9.113436,Bare Land,99.09,2,15.3,Built-up,2,2,8.15
15,"Monday, January 15, 1990",Hadejia,12.617082,8.248314,Agriculture,224.7,2,19.2,Built-up,0,1,8.23
16,"Tuesday, January 16, 1990",Hadejia,12.050636,9.987849,Forest,346.81,1.4,14.7,Bareland,2,2,8.23
17,"Wednesday, January 17, 1990",Hadejia,12.052437,9.806717,Water Body,276.95,1.2,20.2,Built-up,3,1,8.71
18,"Thursday, January 18, 1990",Hadejia,12.342542,8.820759,Grassland,116.9,2.2,20.7,Forest,1,1,8.74
19,"Friday, January 19, 1990",Hadejia,11.373638,9.501683,Grassland,129.95,1.9,19.4,Forest,3,2,8.74
20,"Saturday, January 20, 1990",Hadejia,12.075014,9.724953,Grassland,496.13,1.7,16,Bareland,0,0,8.7
21,"Sunday, January 21, 1990",Hadejia,11.822136,8.594134,Grassland,210.42,2.1,17.3,Bareland,2,3,8.7
22,"Monday, January 22, 1990",Hadejia,11.178562,9.659413,Forest,422.79,2,17.4,Forest,0,1,8.62
23,"Tuesday, January 23, 1990",Hadejia,11.985947,8.432182,Water Body,174.88,1.6,14.7,Forest,1,1,8.68
24,"Wednesday, January 24, 1990",Hadejia,12.291478,8.206861,Water Body,63.87,2.3,17.4,Forest,0,2,8.71
25,"Thursday, January 25, 1990",Hadejia,11.035717,8.553468,Grassland,105.03,2.3,13.5,Wetland,2,3,9
26,"Friday, January 26, 1990",Hadejia,12.280529,8.308671,Bare Land,275.53,2.1,17.2,Agriculture,1,2,9.07
27,"Saturday, January 27, 1990",Hadejia,12.073361,8.2894,Built-up,259.82,2,17.4,Wetland,1,1,9.07
28,"Sunday, January 28, 1990",Hadejia,12.919053,9.441055,Water Body,25.63,2,17.5,Forest,2,1,9.07
29,"Monday, January 29, 1990",Hadejia,12.798379,9.259535,Forest,129.7,2,19.8,Agriculture,2,1,9.11
30,"Tuesday, January 30, 1990",Hadejia,12.518436,8.64843,Water Body,104.44,2.1,15.9,Built-up,2,3,9.24
31,"Wednesday, January 31, 1990",Hadejia,11.98218,8.64541,Grassland,324.58,1.9,17.6,Forest,0,2,8.68
32,"Thursday, February 1, 1990",Hadejia,12.133332,9.694035,Agriculture,65.98,2.2,17,Forest,3,1,8.29
33,"Friday, February 2, 1990",Hadejia,11.558438,8.957388,Grassland,81.75,2.1,22.3,Built-up,0,2,8.22
34,"Saturday, February 3, 1990",Hadejia,12.046859,9.889257,Grassland,288.07,2.2,11.8,Agriculture,0,2,8.37
35,"Sunday, February 4, 1990",Hadejia,12.860338,9.4054,Water Body,136.57,2.4,15.8,Forest,3,3,8.37
36,"Monday, February 5, 1990",Hadejia,11.333505,9.626646,Forest,122.19,2,19.3,Agriculture,2,2,8.45
37,"Tuesday, February 6, 1990",Hadejia,12.772517,8.316364,Agriculture,219.21,2.1,14,Wetland,2,1,8.4
38,"Wednesday, February 7, 1990",Hadejia,11.586635,9.589385,Built-up,188.64,2.2,20.1,Bareland,3,1,8.63
39,"Thursday, February 8, 1990",Hadejia,11.111596,8.730958,Forest,88.76,2,17.4,Wetland,3,1,8.63
40,"Friday, February 9, 1990",Hadejia,11.346799,9.797431,Forest,396.3,1.9,16.8,Bareland,0,2,8.75
41,"Saturday, February 10, 1990",Hadejia,12.489473,9.755939,Forest,141.45,2.1,12.8,Forest,1,3,8.87
42,"Sunday, February 11, 1990",Hadejia,12.747788,9.638569,Bare Land,384.77,2.4,17.8,Wetland,3,3,8.87
43,"Monday, February 12, 1990",Hadejia,11.484262,8.393184,Grassland,135.89,1.3,18.4,Wetland,0,2,8.9
44,"Tuesday, February 13, 1990",Hadejia,12.614429,9.120876,Water Body,188.5,2.2,13.1,Built-up,1,1,8.9
45,"Wednesday, February 14, 1990",Hadejia,11.04002,9.785552,Built-up,406.26,2,17.2,Bareland,2,2,8.72
46,"Thursday, February 15, 1990",Hadejia,12.789557,9.163648,Water Body,165.06,1.8,18.2,Bareland,2,4,8.72
47,"Friday, February 16, 1990",Hadejia,11.632945,9.824064,Built-up,339.26,2.3,16.8,Forest,0,2,8.6
48,"Saturday, February 17, 1990",Hadejia,12.877698,9.108132,Agriculture,316.26,1.6,20.1,Built-up,0,2,8.34
49,"Sunday, February 18, 1990",Hadejia,12.881456,9.594305,Forest,494.18,1.9,17.3,Built-up,3,1,8.64
50,"Monday, February 19, 1990",Hadejia,12.988515,8.982598,Forest,400.72,2.4,16.9,Bareland,2,2,8.53
51,"Tuesday, February 20, 1990",Hadejia,11.971171,9.310512,Water Body,497.25,1.4,18,Built-up,0,1,8.39
52,"Wednesday, February 21, 1990",Hadejia,11.827978,9.068324,Grassland,222.69,2.2,11.6,Agriculture,2,1,8.69
53,"Thursday, February 22, 1990",Hadejia,11.717557,8.373269,Bare Land,225.95,2.4,16.3,Forest,2,3,8.78
54,"Friday, February 23, 1990",Hadejia,11.183802,9.086659,Bare Land,48.24,2.3,13.7,Wetland,3,2,8.94
55,"Saturday, February 24, 1990",Hadejia,11.841135,8.801104,Grassland,444.83,2.1,15.2,Bareland,1,2,9.22
56,"Sunday, February 25, 1990",Hadejia,12.479795,8.664111,Bare Land,44.78,1.7,16.8,Built-up,3,2,9.09
57,"Monday, February 26, 1990",Hadejia,11.16184,8.550315,Agriculture,384.54,2.3,15,Built-up,0,1,9.05
58,"Tuesday, February 27, 1990",Hadejia,11.268721,9.648445,Grassland,148.95,1.8,19.6,Built-up,3,2,9.23
59,"Wednesday, February 28, 1990",Hadejia,12.249481,9.273809,Agriculture,321.42,2,16.2,Forest,3,2,8.87
60,"Thursday, March 1, 1990",Hadejia,12.443011,9.658895,Built-up,189.27,2,16.9,Wetland,2,2,8.83
61,"Friday, March 2, 1990",Hadejia,11.521664,8.041465,Built-up,28.75,1.6,17.9,Built-up,3,1,8.66
62,"Saturday, March 3, 1990",Hadejia,12.759334,9.576551,Forest,286.87,2.4,18.2,Wetland,0,1,8.79
63,"Sunday, March 4, 1990",Hadejia,11.973088,9.512532,Agriculture,32.64,2,18.7,Wetland,1,1,8.67
64,"Monday, March 5, 1990",Hadejia,11.230036,8.713803,Grassland,123.82,2,19.2,Forest,3,2,8.67
